gene_id,s_dmso,s_drb_1,s_flavopiridol_2,s_triptolide_3
AALF001122,2,5,2,0
AALF001124,26,18,5,6
AALF001125,32,6,13,17
AALF001126,10,20,9,29
AALF001127,75,37,17,19
AALF001128,5,0,1,1
AALF001129,72,72,31,81
AALF001130,0,0,0,0
AALF001131,0,0,0,0
AALF001132,0,0,0,0
AALF001133,0,0,0,0
AALF001134,0,0,1,0
AALF001136,0,0,1,0
AALF001137,0,0,0,0
AALF001138,0,0,0,0
AALF001139,5,0,3,1
AALF001140,0,0,0,0
AALF001141,0,0,0,0
AALF001143,0,0,0,0
AALF001144,0,0,0,0
AALF001146,0,0,0,0
AALF001148,0,0,0,1
AALF001149,22,37,18,10
AALF001153,0,0,0,0
AALF001155,1,0,0,0
AALF001156,0,0,1,1
AALF001157,182,225,94,170
AALF001158,694,461,369,546
AALF001159,321,122,117,46
AALF001162,62,81,54,36
AALF001166,75,76,41,84
AALF001167,0,0,0,2
AALF001168,0,5,0,0
AALF001169,27,17,16,10
AALF001170,47,23,18,13
AALF001171,7,0,2,0
AALF001172,37,18,9,12
AALF001173,484,873,572,696
AALF001174,60,7,4,2
AALF001175,392,258,212,261
AALF001176,120,53,33,13
AALF001177,61,27,31,25
AALF001182,0,0,0,0
AALF001184,0,0,0,0
AALF001185,0,0,0,0
AALF001186,0,0,0,0
AALF001187,1731,884,745,1016
AALF001193,0,0,0,0
AALF001194,2,1,0,0
AALF001195,13,15,12,8
AALF001196,4,0,0,0
AALF001197,0,1,1,0
AALF001198,0,0,0,0
AALF001200,4,0,0,0
AALF001204,46,78,58,87
AALF001205,0,0,0,0
AALF001207,64,65,69,102
AALF001210,0,0,0,0
AALF001214,0,0,0,0
AALF001215,0,0,0,0
AALF001216,82,20,32,38
AALF001217,27,3,10,2
AALF001219,6,0,3,0
AALF001220,0,3,0,0
AALF001221,0,0,0,1
AALF001222,0,0,0,0
AALF001223,0,0,0,0
AALF001224,20,0,2,6
AALF001225,0,0,0,0
AALF001227,0,0,0,0
AALF001230,1,0,0,0
AALF001231,0,0,0,0
AALF001232,41,29,19,16
AALF001233,1,0,0,0
AALF001234,45,16,18,2
AALF001235,0,1,2,2
AALF001245,207,266,168,19
AALF001246,330,110,68,67
AALF001247,0,0,0,0
AALF001248,0,0,0,0
AALF001249,0,0,0,0
AALF001250,0,0,0,0
AALF001257,72,22,23,4
AALF001258,0,0,1,0
AALF001259,11,6,0,8
AALF001260,10,11,7,2
AALF001261,56,5,5,7
AALF001269,1,3,0,2
AALF001271,380,88,94,61
AALF001277,52,23,20,1
AALF001278,292,139,72,101
AALF001282,0,0,0,0
AALF001283,0,0,0,0
AALF001286,0,0,0,0
AALF001291,0,0,0,0
AALF001293,2,1,1,4
AALF001302,0,0,0,0
AALF001303,3,1,0,0
AALF001304,0,0,0,0
AALF001314,10,4,0,6
AALF001315,94,94,93,168
AALF001316,37,21,18,16
AALF001317,1,4,0,0
AALF001319,572,840,542,690
AALF001320,0,0,0,0
AALF001321,254,103,99,47
AALF001322,552,417,274,418
AALF001324,1675,1585,1517,1795
AALF001330,0,1,0,0
AALF001331,1,1,2,1
AALF001333,13,35,27,16
AALF001334,183,227,190,214
AALF001335,0,2,0,0
AALF001336,230,98,59,67
AALF001337,5,2,0,0
AALF001340,11,8,11,8
AALF001341,0,0,0,0
AALF001345,106,62,77,87
AALF001347,0,0,0,2
AALF001348,0,0,0,0
AALF001351,189,71,65,53
AALF001353,0,0,0,0
AALF001354,657,973,630,699
AALF001355,265,213,143,187
AALF001356,270,370,252,317
AALF001357,5846,7415,4196,2273
AALF001358,145,42,47,36
AALF001359,0,0,0,0
AALF001360,30,3,7,0
AALF001361,0,0,0,0
AALF001363,0,0,0,0
AALF001365,118,139,79,104
AALF001366,0,0,0,0
AALF001367,70,19,9,10
AALF001368,31,2,9,7
AALF001369,72,13,13,6
AALF001370,0,0,0,0
AALF001371,0,0,0,0
AALF001372,1,0,0,0
AALF001373,0,0,0,0
AALF001374,0,0,0,0
AALF001375,0,0,0,0
AALF001376,0,0,0,0
AALF001377,0,0,0,0
AALF001378,8,0,2,2
AALF001379,0,0,0,0
AALF001380,0,0,0,0
AALF001381,0,0,0,0
AALF001382,0,0,0,0
AALF001383,0,0,0,0
AALF001384,0,0,0,0
AALF001385,0,0,0,0
AALF001387,0,0,0,0
AALF001388,0,0,0,0
AALF001389,0,0,0,0
AALF001390,0,0,0,0
AALF001391,0,0,0,0
AALF001399,390,210,103,122
AALF001400,51,23,16,13
AALF001401,0,0,0,0
AALF001408,2,0,1,0
AALF001416,0,0,0,0
AALF001420,0,0,0,0
AALF001422,0,0,0,0
AALF001423,11,15,8,6
AALF001424,1,0,0,0
AALF001425,31,21,13,16
AALF001426,0,0,1,0
AALF001427,0,1,0,1
AALF001428,0,1,0,0
AALF001438,58,14,30,21
AALF001439,785,104,76,46
AALF001440,546,300,206,222
AALF001441,68,28,23,7
AALF001442,0,0,2,0
AALF001443,0,0,0,0
AALF001449,1078,772,482,13
AALF001458,0,0,0,0
AALF001463,0,0,0,0
AALF001465,74,39,14,16
AALF001469,0,0,0,0
AALF001474,0,4,0,0
AALF001475,46,136,122,26
AALF001476,26,4,2,5
AALF001477,316,97,38,67
AALF001478,15,31,20,28
AALF001479,56,26,7,4
AALF001480,0,0,0,0
AALF001481,62,24,11,6
AALF001482,62,27,13,14
AALF001483,126,106,91,89
AALF001484,0,0,0,1
AALF001485,0,0,0,0
AALF001486,46,33,28,15
AALF001488,14,1,8,5
AALF001490,0,0,0,0
AALF001491,0,0,0,0
AALF001499,32,68,74,48
AALF001500,0,0,0,0
AALF001501,320,70,42,63
AALF001502,0,1,0,0
AALF001503,4,2,0,2
AALF001504,5,0,0,1
AALF001505,463,688,392,537
AALF001506,0,0,0,0
AALF001507,24,3,6,4
AALF001508,4,3,0,0
AALF001509,456,189,130,202
AALF001510,14,2,4,3
AALF001519,0,0,0,0
AALF001520,0,0,0,0
AALF001521,0,0,1,1
AALF001524,0,0,0,0
AALF001530,0,0,0,0
AALF001538,0,0,0,0
AALF001540,0,0,0,0
AALF001542,0,0,0,0
AALF001547,4,2,0,4
AALF001548,0,0,0,0
AALF001549,419,169,159,219
AALF001553,1,6,1,7
AALF001554,9,32,35,3
AALF001556,34,27,51,47
AALF001557,0,0,0,0
AALF001558,4,0,3,0
AALF001560,0,1,0,0
AALF001563,0,0,0,0
AALF001564,61,51,39,69
AALF001565,68,84,48,68
AALF001566,30,10,4,20
