gene_ID,dmso,drb,flavopiridol,triptolide
AALF000879-RA,12,22,14,1
AALF000894-RA,0,0,0,0
AALF000895-RA,37,31,16,29
AALF000910-RA,66,52,33,64
AALF000911-RA,6,3,0,2
AALF000912-RA,14,0,0,0
AALF000913-RA,3,1,2,0
AALF000914-RA,2,2,0,1
AALF000915-RA,3,1,0,1
AALF000916-RA,6,0,2,5
AALF000923-RA,2,0,2,0
AALF000925-RA,30,24,4,13
AALF000926-RA,6,0,0,2
AALF000927-RA,51,50,40,57
AALF000929-RA,10,8,2,0
AALF000934-RA,0,0,0,0
AALF000935-RA,4,0,1,5
AALF000938-RA,0,0,0,0
AALF000939-RA,1,0,0,0
AALF000940-RA,2,0,0,0
AALF000943-RA,30,11,8,6
AALF000944-RA,0,0,0,0
AALF000945-RA,0,0,0,0
AALF000946-RA,14,31,20,17
AALF000947-RA,0,0,0,0
AALF000948-RA,1,5,2,5
AALF000949-RA,50,54,31,43
AALF000950-RA,3,0,0,0
AALF000951-RA,4,1,0,0
AALF000952-RA,132,83,94,116
AALF000953-RA,0,0,2,0
AALF000954-RA,9,4,3,2
AALF000956-RA,9,10,6,13
AALF000962-RA,0,0,0,0
AALF000963-RA,0,0,0,0
AALF000964-RA,2,3,2,2
AALF000967-RA,0,4,0,0
AALF000970-RA,7,4,1,3
AALF000971-RA,0,0,0,0
AALF000972-RA,0,0,0,0
AALF000973-RA,1,0,0,1
AALF000974-RA,0,1,0,0
AALF000975-RA,0,3,0,4
AALF000983-RA,22,3,2,1
AALF000985-RA,0,5,2,0
AALF000991-RA,0,0,0,0
AALF001011-RA,5,5,3,1
AALF001012-RA,0,0,1,0
AALF001021-RA,1,0,1,1
AALF001024-RA,1,0,0,0
AALF001025-RA,0,1,3,0
AALF001026-RA,0,0,0,0
AALF001031-RA,0,0,0,0
AALF001032-RA,0,3,0,0
AALF001036-RA,9,3,4,8
AALF001045-RA,9,10,4,5
AALF001047-RA,1,0,0,0
AALF001048-RA,0,0,0,0
AALF001049-RA,0,0,0,0
AALF001050-RA,21,7,3,5
AALF001051-RA,40,36,25,44
AALF001062-RA,4,1,0,0
AALF001063-RA,4,3,3,0
AALF001069-RA,5,5,7,1
AALF001071-RA,1,0,0,0
AALF001072-RA,2,0,2,3
AALF001073-RA,31,5,7,4
AALF001074-RA,22,8,18,9
AALF001075-RA,0,0,0,0
AALF001082-RA,25,50,22,29
AALF001090-RA,0,0,0,0
AALF001092-RA,37,11,21,6
AALF001093-RA,214,302,159,212
AALF001094-RA,1,0,0,0
AALF001095-RA,68,26,9,14
AALF001096-RA,0,0,0,0
AALF001097-RA,0,0,0,0
AALF001098-RA,1,0,2,0
AALF001099-RA,11,10,3,2
AALF001100-RA,125,71,45,61
AALF001101-RA,58,41,26,20
AALF001104-RA,0,0,0,0
AALF001105-RA,0,0,0,0
AALF001106-RA,5,0,0,0
AALF001107-RA,2,1,1,1
AALF001109-RA,14,1,1,0
AALF001115-RA,7,2,5,0
AALF001117-RA,3,1,0,0
AALF001118-RA,6,2,0,0
AALF001119-RA,18,1,4,2
AALF001120-RA,3,1,0,0
AALF001121-RA,2,2,0,2
AALF001122-RA,0,0,0,0
AALF001124-RA,4,3,1,1
AALF001125-RA,0,0,0,0
AALF001126-RA,1,1,2,1
AALF001127-RA,8,9,4,4
AALF001128-RA,1,0,0,0
AALF001129-RA,21,13,6,13
AALF001130-RA,0,0,0,0
AALF001131-RA,0,0,0,0
AALF001132-RA,0,0,0,0
AALF001133-RA,0,0,0,0
AALF001136-RA,0,0,0,0
AALF001138-RA,0,0,0,0
AALF001139-RA,2,0,0,0
AALF001140-RA,0,0,0,0
AALF001141-RA,0,0,0,0
AALF001143-RA,0,0,0,0
AALF001146-RA,0,0,1,0
AALF001148-RA,0,0,0,0
AALF001149-RA,11,15,10,3
AALF001153-RA,0,0,0,0
AALF001155-RA,0,0,0,0
AALF001156-RA,0,0,0,0
AALF001157-RA,72,95,43,78
AALF001158-RA,32,26,21,21
AALF001159-RA,34,8,10,5
AALF001162-RA,16,29,13,4
AALF001166-RA,21,21,15,23
AALF001167-RA,0,0,0,0
AALF001168-RA,1,2,1,0
AALF001169-RA,18,11,16,8
AALF001170-RA,0,0,0,0
AALF001171-RA,0,0,0,0
AALF001172-RA,12,3,4,0
AALF001173-RA,123,257,186,216
AALF001174-RA,10,1,2,0
AALF001175-RA,89,79,61,72
AALF001176-RA,6,1,0,1
AALF001177-RA,49,15,16,7
AALF001184-RA,0,0,0,0
AALF001186-RA,0,0,0,0
AALF001187-RA,98,41,43,59
AALF001194-RA,10,2,3,0
AALF001195-RA,2,3,2,2
AALF001196-RA,1,0,0,0
AALF001198-RA,0,1,0,0
AALF001200-RA,4,0,0,0
AALF001204-RA,13,16,11,13
AALF001214-RA,0,0,0,0
AALF001215-RA,0,0,0,0
AALF001217-RA,12,6,11,6
AALF001219-RA,9,0,4,6
AALF001220-RA,0,0,0,0
AALF001222-RA,0,0,0,0
