virus	host	realm
Mannheimia phage vB_MhM_1127AP1	bacteria	Duplodnaviria
Mannheimia phage vB_MhM_587AP1	bacteria	Duplodnaviria
Mannheimia phage vB_MhM_3927AP2	bacteria	Duplodnaviria
Mannheimia phage vB_MhS_1152AP2	bacteria	Duplodnaviria
Mannheimia phage vB_MhS_535AP2	bacteria	Duplodnaviria
Mannheimia phage vB_MhS_587AP2	bacteria	Duplodnaviria
Marinomonas phage CB5A	bacteria	Duplodnaviria
Marinomonas phage CPP1m	bacteria	Duplodnaviria
Marinomonas phage P12026	bacteria	Duplodnaviria
Meleagrid alphaherpesvirus 1	vertebrates	Duplodnaviria
Mesorhizobium phage vB_MloP_Lo5R7ANS	bacteria	Duplodnaviria
Methanobacterium phage psiM2	archaea	Duplodnaviria
Methanothermobacter phage psiM100	archaea	Duplodnaviria
Microbacterium phage Akoni	bacteria	Duplodnaviria
Microbacterium phage Alex44	bacteria	Duplodnaviria
Microbacterium phage Appa	bacteria	Duplodnaviria
Microbacterium phage Araxxi	bacteria	Duplodnaviria
Microbacterium phage Arete	bacteria	Duplodnaviria
Microbacterium phage Armstrong	bacteria	Duplodnaviria
Microbacterium phage Azizam	bacteria	Duplodnaviria
Microbacterium phage BonaeVitae	bacteria	Duplodnaviria
Microbacterium phage Bri160	bacteria	Duplodnaviria
Microbacterium phage Burro	bacteria	Duplodnaviria
Microbacterium phage Dismas	bacteria	Duplodnaviria
Microbacterium phage Eden	bacteria	Duplodnaviria
Microbacterium phage Efeko	bacteria	Duplodnaviria
Microbacterium phage Eleri	bacteria	Duplodnaviria
Microbacterium phage Fireman	bacteria	Duplodnaviria
Microbacterium phage Golden	bacteria	Duplodnaviria
Microbacterium phage Goodman	bacteria	Duplodnaviria
Microbacterium phage Hamlet	bacteria	Duplodnaviria
Microbacterium phage Hendrix	bacteria	Duplodnaviria
Microbacterium phage Hyperion	bacteria	Duplodnaviria
Microbacterium phage Ilzat	bacteria	Duplodnaviria
Microbacterium phage Kaijohn	bacteria	Duplodnaviria
Microbacterium phage Koji	bacteria	Duplodnaviria
Microbacterium phage Krampus	bacteria	Duplodnaviria
Microbacterium phage McGalleon	bacteria	Duplodnaviria
Microbacterium phage MementoMori	bacteria	Duplodnaviria
Microbacterium phage Metamorphoo	bacteria	Duplodnaviria
Microbacterium phage Min1	bacteria	Duplodnaviria
Microbacterium phage MonChoix	bacteria	Duplodnaviria
Microbacterium phage Neferthena	bacteria	Duplodnaviria
Microbacterium phage Nobel	bacteria	Duplodnaviria
Microbacterium phage Noelani	bacteria	Duplodnaviria
Microbacterium phage OneinaGillian	bacteria	Duplodnaviria
Microbacterium phage PaoPu	bacteria	Duplodnaviria
Microbacterium phage Phedro	bacteria	Duplodnaviria
Microbacterium phage Pikmin	bacteria	Duplodnaviria
Microbacterium phage PoRanda	bacteria	Duplodnaviria
Microbacterium phage Quaker	bacteria	Duplodnaviria
Microbacterium phage RobsFeet	bacteria	Duplodnaviria
Microbacterium phage Scamander	bacteria	Duplodnaviria
Microbacterium phage Schubert	bacteria	Duplodnaviria
Microbacterium phage Squash	bacteria	Duplodnaviria
Microbacterium phage Teagan	bacteria	Duplodnaviria
Microbacterium phage TinyTimothy	bacteria	Duplodnaviria
Microbacterium phage Zeta1847	bacteria	Duplodnaviria
Microbacterium phage vB_MoxS-ISF9	bacteria	Duplodnaviria
Microcystis phage MaMV-DC	bacteria	Duplodnaviria
Microcystis virus Ma-LMM01	bacteria	Duplodnaviria
Morganella phage MmP1	bacteria	Duplodnaviria
Morganella phage vB_MmoM_MP1	bacteria	Duplodnaviria
Morganella phage vB_MmoP_MP2	bacteria	Duplodnaviria
Murid betaherpesvirus 1	vertebrates	Duplodnaviria
Murid betaherpesvirus 8	vertebrates	Duplodnaviria
Rat cytomegalovirus ALL-03	vertebrates	Duplodnaviria
Murid gammaherpesvirus 4	vertebrates	Duplodnaviria
Murine roseolovirus	vertebrates	Duplodnaviria
Mustelid gammaherpesvirus 1	vertebrates	Duplodnaviria
Mycobacterium Phage Niklas	bacteria	Duplodnaviria
Mycobacterium phage 20ES	bacteria	Duplodnaviria
Mycobacterium phage 244	bacteria	Duplodnaviria
Mycobacterium phage 32HC	bacteria	Duplodnaviria
Mycobacterium phage 39HC	bacteria	Duplodnaviria
Mycobacterium phage 40AC	bacteria	Duplodnaviria
Mycobacterium phage AFIS	bacteria	Duplodnaviria
Mycobacterium phage Abrogate	bacteria	Duplodnaviria
Mycobacterium phage Acadian	bacteria	Duplodnaviria
Mycobacterium phage Acme	bacteria	Duplodnaviria
Mycobacterium phage Adahisdi	bacteria	Duplodnaviria
Mycobacterium phage Adawi	bacteria	Duplodnaviria
Mycobacterium phage Adephagia	bacteria	Duplodnaviria
Mycobacterium phage Adonis	bacteria	Duplodnaviria
Mycobacterium phage Adzzy	bacteria	Duplodnaviria
Mycobacterium phage Aggie	bacteria	Duplodnaviria
Mycobacterium phage Ajay	bacteria	Duplodnaviria
Mycobacterium phage Akoma	bacteria	Duplodnaviria
Mycobacterium phage Alexphander	bacteria	Duplodnaviria
Mycobacterium phage Alice	bacteria	Duplodnaviria
Mycobacterium phage AlishaPH	bacteria	Duplodnaviria
Mycobacterium phage Alma	bacteria	Duplodnaviria
Mycobacterium phage Alsfro	bacteria	Duplodnaviria
Mycobacterium phage Alvin	bacteria	Duplodnaviria
Mycobacterium phage Amelie	bacteria	Duplodnaviria
Mycobacterium phage Amgine	bacteria	Duplodnaviria
Mycobacterium phage Aminay	bacteria	Duplodnaviria
Mycobacterium phage Amohnition	bacteria	Duplodnaviria
Mycobacterium phage Anaya	bacteria	Duplodnaviria
Mycobacterium phage Andies	bacteria	Duplodnaviria
Mycobacterium phage Angel	bacteria	Duplodnaviria
Mycobacterium phage Angelica	bacteria	Duplodnaviria
Mycobacterium phage Anglerfish	bacteria	Duplodnaviria
Mycobacterium phage AnnaL29	bacteria	Duplodnaviria
Mycobacterium phage Anselm	bacteria	Duplodnaviria
Mycobacterium phage Anthony	bacteria	Duplodnaviria
Mycobacterium phage Antsirabe	bacteria	Duplodnaviria
Mycobacterium phage Anubis	bacteria	Duplodnaviria
Mycobacterium phage JHC117	bacteria	Duplodnaviria
Mycobacterium phage MarQuardt	bacteria	Duplodnaviria
Mycobacterium phage Apizium	bacteria	Duplodnaviria
Mycobacterium phage Apocalypse	bacteria	Duplodnaviria
Mycobacterium phage ArcherNM	bacteria	Duplodnaviria
Mycobacterium phage ArcherS7	bacteria	Duplodnaviria
Mycobacterium phage Astraea	bacteria	Duplodnaviria
Mycobacterium phage Breeniome	bacteria	Duplodnaviria
Mycobacterium phage Bxz1	bacteria	Duplodnaviria
Mycobacterium phage Cali	bacteria	Duplodnaviria
Mycobacterium phage Catera	bacteria	Duplodnaviria
Mycobacterium phage ET08	bacteria	Duplodnaviria
Mycobacterium phage Gizmo	bacteria	Duplodnaviria
Mycobacterium phage LinStu	bacteria	Duplodnaviria
Mycobacterium phage Mangeria	bacteria	Duplodnaviria
Mycobacterium phage MoMoMixon	bacteria	Duplodnaviria
Mycobacterium phage Pleione	bacteria	Duplodnaviria
Mycobacterium phage Rizal	bacteria	Duplodnaviria
Mycobacterium phage ScottMcG	bacteria	Duplodnaviria
Mycobacterium phage Spud	bacteria	Duplodnaviria
Mycobacterium phage Archetta	bacteria	Duplodnaviria
Mycobacterium phage Archie	bacteria	Duplodnaviria
Mycobacterium phage ArcusAngelus	bacteria	Duplodnaviria
Mycobacterium phage Ardmore	bacteria	Duplodnaviria
Mycobacterium phage Arib1	bacteria	Duplodnaviria
Mycobacterium phage Ariel	bacteria	Duplodnaviria
Mycobacterium phage Arlo	bacteria	Duplodnaviria
Mycobacterium phage Artemis2UCLA	bacteria	Duplodnaviria
Mycobacterium phage Arturo	bacteria	Duplodnaviria
Mycobacterium phage Astro	bacteria	Duplodnaviria
Mycobacterium phage Smeadley	bacteria	Duplodnaviria
Mycobacterium phage Atcoo	bacteria	Duplodnaviria
Mycobacterium phage Athena	bacteria	Duplodnaviria
Mycobacterium phage Obutu	bacteria	Duplodnaviria
Mycobacterium phage Atkinbua	bacteria	Duplodnaviria
Mycobacterium phage Avani	bacteria	Duplodnaviria
Mycobacterium phage Avocado	bacteria	Duplodnaviria
Mycobacterium phage BK1	bacteria	Duplodnaviria
Mycobacterium phage BPBiebs31	bacteria	Duplodnaviria
Mycobacterium phage BTCU-1	bacteria	Duplodnaviria
Mycobacterium phage Rockstar	bacteria	Duplodnaviria
Mycobacterium phage Babsiella	bacteria	Duplodnaviria
Mycobacterium phage BabyRay	bacteria	Duplodnaviria
Mycobacterium phage Backyardigan	bacteria	Duplodnaviria
Mycobacterium phage Wile	bacteria	Duplodnaviria
Mycobacterium phage BaconJack	bacteria	Duplodnaviria
Mycobacterium phage Bactobuster	bacteria	Duplodnaviria
Mycobacterium phage Badfish	bacteria	Duplodnaviria
Mycobacterium phage JacAttac	bacteria	Duplodnaviria
Mycobacterium phage Kikipoo	bacteria	Duplodnaviria
Mycobacterium phage Orion	bacteria	Duplodnaviria
Mycobacterium phage PG1	bacteria	Duplodnaviria
Mycobacterium phage Baee	bacteria	Duplodnaviria
Mycobacterium phage Baka	bacteria	Duplodnaviria
Mycobacterium phage Bane1	bacteria	Duplodnaviria
Mycobacterium phage Barnyard	bacteria	Duplodnaviria
Mycobacterium phage BarrelRoll	bacteria	Duplodnaviria
Mycobacterium phage Zavala	bacteria	Duplodnaviria
Mycobacterium phage jaws	bacteria	Duplodnaviria
Mycobacterium phage Barriga	bacteria	Duplodnaviria
Mycobacterium phage Bartholomew	bacteria	Duplodnaviria
Mycobacterium phage Bask21	bacteria	Duplodnaviria
Mycobacterium phage Batiatus	bacteria	Duplodnaviria
Mycobacterium phage Beezoo	bacteria	Duplodnaviria
Mycobacterium phage Bella96	bacteria	Duplodnaviria
Mycobacterium phage BellusTerra	bacteria	Duplodnaviria
Mycobacterium phage Benedict	bacteria	Duplodnaviria
Mycobacterium phage Benvolio	bacteria	Duplodnaviria
Mycobacterium phage Bernal13	bacteria	Duplodnaviria
Mycobacterium phage Bernardo	bacteria	Duplodnaviria
Mycobacterium phage Big3	bacteria	Duplodnaviria
Mycobacterium phage BigNuz	bacteria	Duplodnaviria
Mycobacterium phage BigPaolini	bacteria	Duplodnaviria
Mycobacterium phage Bigswole	bacteria	Duplodnaviria
Mycobacterium phage BillKnuckles	bacteria	Duplodnaviria
Mycobacterium phage Bipolar	bacteria	Duplodnaviria
Mycobacterium phage Bipper	bacteria	Duplodnaviria
Mycobacterium phage Bircsak	bacteria	Duplodnaviria
Mycobacterium phage BirdsNest	bacteria	Duplodnaviria
Mycobacterium phage Blexus	bacteria	Duplodnaviria
Mycobacterium phage Blinn1	bacteria	Duplodnaviria
Mycobacterium phage Blue	bacteria	Duplodnaviria
Mycobacterium phage Blue7	bacteria	Duplodnaviria
Mycobacterium phage Hammer	bacteria	Duplodnaviria
Mycobacterium phage Bluefalcon	bacteria	Duplodnaviria
Mycobacterium phage Bob3	bacteria	Duplodnaviria
Mycobacterium phage BobaPhett	bacteria	Duplodnaviria
Mycobacterium phage Bobi	bacteria	Duplodnaviria
Mycobacterium phage BodEinwohner17	bacteria	Duplodnaviria
Mycobacterium phage Bones	bacteria	Duplodnaviria
Mycobacterium phage Bongo	bacteria	Duplodnaviria
Mycobacterium phage PegLeg	bacteria	Duplodnaviria
Mycobacterium phage Brocalys	bacteria	Duplodnaviria
Mycobacterium phage Bromden	bacteria	Duplodnaviria
Mycobacterium phage BrownCNA	bacteria	Duplodnaviria
Mycobacterium phage Bruin	bacteria	Duplodnaviria
Mycobacterium phage Brujita	bacteria	Duplodnaviria
Mycobacterium phage Bruns	bacteria	Duplodnaviria
Mycobacterium phage Brusacoram	bacteria	Duplodnaviria
Mycobacterium phage Bryler	bacteria	Duplodnaviria
Mycobacterium phage Bubbles123	bacteria	Duplodnaviria
Mycobacterium phage Bugsy	bacteria	Duplodnaviria
Mycobacterium phage Burwell21	bacteria	Duplodnaviria
Mycobacterium phage Butters	bacteria	Duplodnaviria
Mycobacterium phage BuzzLyseyear	bacteria	Duplodnaviria
Mycobacterium phage Bxb1	bacteria	Duplodnaviria
Mycobacterium phage Bxz2	bacteria	Duplodnaviria
Mycobacterium phage ByChance	bacteria	Duplodnaviria
Mycobacterium phage Byougenkin	bacteria	Duplodnaviria
Mycobacterium phage CASbig	bacteria	Duplodnaviria
Mycobacterium phage CRB1	bacteria	Duplodnaviria
Mycobacterium phage CRB2	bacteria	Duplodnaviria
Mycobacterium phage Cabrinians	bacteria	Duplodnaviria
Mycobacterium phage Cambiare	bacteria	Duplodnaviria
Mycobacterium phage Camperdownii	bacteria	Duplodnaviria
Mycobacterium phage Cane17	bacteria	Duplodnaviria
Mycobacterium phage CaptainTrips	bacteria	Duplodnaviria
Mycobacterium phage Carcharodon	bacteria	Duplodnaviria
Mycobacterium phage Pipsqueaks	bacteria	Duplodnaviria
Mycobacterium phage Catalina	bacteria	Duplodnaviria
Mycobacterium phage PackMan	bacteria	Duplodnaviria
Mycobacterium phage Catdawg	bacteria	Duplodnaviria
Mycobacterium phage Centaur	bacteria	Duplodnaviria
Mycobacterium phage Cerasum	bacteria	Duplodnaviria
Mycobacterium phage Cerulean	bacteria	Duplodnaviria
Mycobacterium phage LHTSCC	bacteria	Duplodnaviria
Mycobacterium phage Obama12	bacteria	Duplodnaviria
Mycobacterium phage Chadwick	bacteria	Duplodnaviria
Mycobacterium phage Charlie	bacteria	Duplodnaviria
Mycobacterium phage CharlieB	bacteria	Duplodnaviria
Mycobacterium phage Che12	bacteria	Duplodnaviria
Mycobacterium phage Che8	bacteria	Duplodnaviria
Mycobacterium phage Che9c	bacteria	Duplodnaviria
Mycobacterium phage Cheetobro	bacteria	Duplodnaviria
Mycobacterium phage Chris	bacteria	Duplodnaviria
Mycobacterium phage ChrisnMich	bacteria	Duplodnaviria
Mycobacterium phage Chuckly	bacteria	Duplodnaviria
Mycobacterium phage Chy4	bacteria	Duplodnaviria
Mycobacterium phage Chy5	bacteria	Duplodnaviria
Mycobacterium phage CicholasNage	bacteria	Duplodnaviria
Mycobacterium phage Cindaradix	bacteria	Duplodnaviria
Mycobacterium phage Cintron	bacteria	Duplodnaviria
Mycobacterium phage Cjw1	bacteria	Duplodnaviria
Mycobacterium phage Clifton	bacteria	Duplodnaviria
Mycobacterium phage CloudWang3	bacteria	Duplodnaviria
Mycobacterium phage Colbert	bacteria	Duplodnaviria
Mycobacterium phage Eremos	bacteria	Duplodnaviria
Mycobacterium phage Newman	bacteria	Duplodnaviria
Mycobacterium phage Pops	bacteria	Duplodnaviria
Mycobacterium phage ShiVal	bacteria	Duplodnaviria
Mycobacterium phage Suffolk	bacteria	Duplodnaviria
Mycobacterium phage Collard	bacteria	Duplodnaviria
Mycobacterium phage ConceptII	bacteria	Duplodnaviria
Mycobacterium phage Conspiracy	bacteria	Duplodnaviria
Mycobacterium phage Contagion	bacteria	Duplodnaviria
Mycobacterium phage Cooper	bacteria	Duplodnaviria
Mycobacterium phage Corndog	bacteria	Duplodnaviria
Mycobacterium phage Cornie	bacteria	Duplodnaviria
Mycobacterium phage Cornucopia	bacteria	Duplodnaviria
Mycobacterium phage Corvo	bacteria	Duplodnaviria
Mycobacterium phage Courthouse	bacteria	Duplodnaviria
Mycobacterium phage CrimD	bacteria	Duplodnaviria
Mycobacterium phage Crispicous1	bacteria	Duplodnaviria
Mycobacterium phage Crossroads	bacteria	Duplodnaviria
Mycobacterium phage Faith1	bacteria	Duplodnaviria
Mycobacterium phage Gardann	bacteria	Duplodnaviria
Mycobacterium phage Cuco	bacteria	Duplodnaviria
Mycobacterium phage Cuke	bacteria	Duplodnaviria
Mycobacterium phage Curiosium	bacteria	Duplodnaviria
Mycobacterium phage D29	bacteria	Duplodnaviria
Mycobacterium phage DD5	bacteria	Duplodnaviria
Mycobacterium phage DLane	bacteria	Duplodnaviria
Mycobacterium phage DRBy19	bacteria	Duplodnaviria
Mycobacterium phage DS6A	bacteria	Duplodnaviria
Mycobacterium phage DaWorst	bacteria	Duplodnaviria
Mycobacterium phage Daenerys	bacteria	Duplodnaviria
Mycobacterium phage Damien	bacteria	Duplodnaviria
Mycobacterium phage Dandelion	bacteria	Duplodnaviria
Mycobacterium phage Dante	bacteria	Duplodnaviria
Mycobacterium phage DarthP	bacteria	Duplodnaviria
Mycobacterium phage DarthPhader	bacteria	Duplodnaviria
Mycobacterium phage DeadP	bacteria	Duplodnaviria
Mycobacterium phage Demsculpinboyz	bacteria	Duplodnaviria
Mycobacterium phage DillTech15	bacteria	Duplodnaviria
Mycobacterium phage DirkDirk	bacteria	Duplodnaviria
Mycobacterium phage Donkeykong	bacteria	Duplodnaviria
Mycobacterium phage Donovan	bacteria	Duplodnaviria
Mycobacterium phage Doom	bacteria	Duplodnaviria
Mycobacterium phage Dori	bacteria	Duplodnaviria
Mycobacterium phage Dorothy	bacteria	Duplodnaviria
Mycobacterium phage DotProduct	bacteria	Duplodnaviria
Mycobacterium phage Doug	bacteria	Duplodnaviria
Mycobacterium phage DrDrey	bacteria	Duplodnaviria
Mycobacterium phage DrLupo	bacteria	Duplodnaviria
Mycobacterium phage Drago	bacteria	Duplodnaviria
Mycobacterium phage Dreamboat	bacteria	Duplodnaviria
Mycobacterium phage DroogsArmy	bacteria	Duplodnaviria
Mycobacterium phage Timshel	bacteria	Duplodnaviria
Mycobacterium phage Dulcie	bacteria	Duplodnaviria
Mycobacterium phage Dumbo	bacteria	Duplodnaviria
Mycobacterium phage Dusk	bacteria	Duplodnaviria
Mycobacterium phage Mindy	bacteria	Duplodnaviria
Mycobacterium phage Toto	bacteria	Duplodnaviria
Mycobacterium phage Dylan	bacteria	Duplodnaviria
Mycobacterium phage Firecracker	bacteria	Duplodnaviria
Mycobacterium phage DyoEdafos	bacteria	Duplodnaviria
Mycobacterium phage EagleEye	bacteria	Duplodnaviria
Mycobacterium phage Echild	bacteria	Duplodnaviria
Mycobacterium phage Edtherson	bacteria	Duplodnaviria
Mycobacterium phage Eish	bacteria	Duplodnaviria
Mycobacterium phage Ekdilam	bacteria	Duplodnaviria
Mycobacterium phage EleanorGeorge	bacteria	Duplodnaviria
Mycobacterium phage Emma	bacteria	Duplodnaviria
Mycobacterium phage Empress	bacteria	Duplodnaviria
Mycobacterium phage Enby	bacteria	Duplodnaviria
Mycobacterium phage Enkosi	bacteria	Duplodnaviria
Mycobacterium phage Eponine	bacteria	Duplodnaviria
Mycobacterium phage Equemioh13	bacteria	Duplodnaviria
Mycobacterium phage EricB	bacteria	Duplodnaviria
Mycobacterium phage VohminGhazi	bacteria	Duplodnaviria
Mycobacterium phage Estave1	bacteria	Duplodnaviria
Mycobacterium phage Euphoria	bacteria	Duplodnaviria
Mycobacterium phage EvilGenius	bacteria	Duplodnaviria
Mycobacterium phage FF47	bacteria	Duplodnaviria
Mycobacterium phage Fajezeel	bacteria	Duplodnaviria
Mycobacterium phage Fameo	bacteria	Duplodnaviria
Mycobacterium phage Fancypants	bacteria	Duplodnaviria
Mycobacterium phage Filuzino	bacteria	Duplodnaviria
Mycobacterium phage Findley	bacteria	Duplodnaviria
Mycobacterium phage Finemlucis	bacteria	Duplodnaviria
Mycobacterium phage Fionnbharth	bacteria	Duplodnaviria
Mycobacterium phage First	bacteria	Duplodnaviria
Mycobacterium phage FirstPlacePfu	bacteria	Duplodnaviria
Mycobacterium phage Fishburne	bacteria	Duplodnaviria
Mycobacterium phage FlagStaff	bacteria	Duplodnaviria
Mycobacterium phage Flathead	bacteria	Duplodnaviria
Mycobacterium phage Florinda	bacteria	Duplodnaviria
Mycobacterium phage Fortunato	bacteria	Duplodnaviria
Mycobacterium phage Fowlmouth	bacteria	Duplodnaviria
Mycobacterium phage Frankie	bacteria	Duplodnaviria
Mycobacterium phage Fredward	bacteria	Duplodnaviria
Mycobacterium phage Fruitloop	bacteria	Duplodnaviria
Mycobacterium phage Fulbright	bacteria	Duplodnaviria
Mycobacterium phage GUmbie	bacteria	Duplodnaviria
Mycobacterium phage Gadjet	bacteria	Duplodnaviria
Mycobacterium phage GageAP	bacteria	Duplodnaviria
Mycobacterium phage Gaia	bacteria	Duplodnaviria
Mycobacterium phage Gail	bacteria	Duplodnaviria
Mycobacterium phage Galactic	bacteria	Duplodnaviria
Mycobacterium phage Gengar	bacteria	Duplodnaviria
Mycobacterium phage George	bacteria	Duplodnaviria
Mycobacterium phage LittleCherry	bacteria	Duplodnaviria
Mycobacterium phage Georgie2	bacteria	Duplodnaviria
Mycobacterium phage Geralt	bacteria	Duplodnaviria
Mycobacterium phage Giles	bacteria	Duplodnaviria
Mycobacterium phage Girr	bacteria	Duplodnaviria
Mycobacterium phage Gladiator	bacteria	Duplodnaviria
Mycobacterium phage Godines	bacteria	Duplodnaviria
Mycobacterium phage Laurie	bacteria	Duplodnaviria
Mycobacterium phage Qyrzula	bacteria	Duplodnaviria
Mycobacterium phage Gompeii16	bacteria	Duplodnaviria
Mycobacterium phage Goose	bacteria	Duplodnaviria
Mycobacterium phage Gorge	bacteria	Duplodnaviria
Mycobacterium phage Graduation	bacteria	Duplodnaviria
Mycobacterium phage GreaseLightnin	bacteria	Duplodnaviria
Mycobacterium phage Grizzly	bacteria	Duplodnaviria
Mycobacterium phage Gumball	bacteria	Duplodnaviria
Mycobacterium phage PLot	bacteria	Duplodnaviria
Mycobacterium phage Troll4	bacteria	Duplodnaviria
Mycobacterium phage GuuelaD	bacteria	Duplodnaviria
Mycobacterium phage HC	bacteria	Duplodnaviria
Mycobacterium phage HINdeR	bacteria	Duplodnaviria
Mycobacterium phage Hades	bacteria	Duplodnaviria
Mycobacterium phage Hamulus	bacteria	Duplodnaviria
Mycobacterium phage HanShotFirst	bacteria	Duplodnaviria
Mycobacterium phage Harley	bacteria	Duplodnaviria
Mycobacterium phage Hawkeye	bacteria	Duplodnaviria
Mycobacterium phage Heffalump	bacteria	Duplodnaviria
Mycobacterium phage Hegedechwinu	bacteria	Duplodnaviria
Mycobacterium phage HelDan	bacteria	Duplodnaviria
Mycobacterium phage Henu3	bacteria	Duplodnaviria
Mycobacterium phage Henu3 PeY-2017	bacteria	Duplodnaviria
Mycobacterium phage Hosp	bacteria	Duplodnaviria
Mycobacterium phage HufflyPuff	bacteria	Duplodnaviria
Mycobacterium phage Hurricane	bacteria	Duplodnaviria
Mycobacterium phage HyRo	bacteria	Duplodnaviria
Mycobacterium phage ICleared	bacteria	Duplodnaviria
Mycobacterium phage Nyxis	bacteria	Duplodnaviria
Mycobacterium phage Peaches	bacteria	Duplodnaviria
Mycobacterium phage Wizard007	bacteria	Duplodnaviria
Mycobacterium phage ILeeKay	bacteria	Duplodnaviria
Mycobacterium phage Ibhubesi	bacteria	Duplodnaviria
Mycobacterium phage Ichabod	bacteria	Duplodnaviria
Mycobacterium phage Imvubu	bacteria	Duplodnaviria
Mycobacterium phage Indlulamithi	bacteria	Duplodnaviria
Mycobacterium phage Inventum	bacteria	Duplodnaviria
Mycobacterium phage Iracema64	bacteria	Duplodnaviria
Mycobacterium phage IronMan	bacteria	Duplodnaviria
Mycobacterium phage JAMaL	bacteria	Duplodnaviria
Mycobacterium phage JC27	bacteria	Duplodnaviria
Mycobacterium phage Jabbawokkie	bacteria	Duplodnaviria
Mycobacterium phage JackSparrow	bacteria	Duplodnaviria
Mycobacterium phage Jamie19	bacteria	Duplodnaviria
Mycobacterium phage Jebeks	bacteria	Duplodnaviria
Mycobacterium phage Jeeves	bacteria	Duplodnaviria
Mycobacterium phage Jeffabunny	bacteria	Duplodnaviria
Mycobacterium phage JewelBug	bacteria	Duplodnaviria
Mycobacterium phage Job42	bacteria	Duplodnaviria
Mycobacterium phage Jobu08	bacteria	Duplodnaviria
Mycobacterium phage JoeDirt	bacteria	Duplodnaviria
Mycobacterium phage JoeyJr	bacteria	Duplodnaviria
Mycobacterium phage Jolie1	bacteria	Duplodnaviria
Mycobacterium phage Jolie2	bacteria	Duplodnaviria
Mycobacterium phage JoshKayV	bacteria	Duplodnaviria
Mycobacterium phage Jovo	bacteria	Duplodnaviria
Mycobacterium phage Juice456	bacteria	Duplodnaviria
Mycobacterium phage Jung	bacteria	Duplodnaviria
Mycobacterium phage KSSJEB	bacteria	Duplodnaviria
Mycobacterium phage Kampy	bacteria	Duplodnaviria
Mycobacterium phage Kanely	bacteria	Duplodnaviria
Mycobacterium phage KayaCho	bacteria	Duplodnaviria
Mycobacterium phage Kenuha5	bacteria	Duplodnaviria
Mycobacterium phage Kersh	bacteria	Duplodnaviria
Mycobacterium phage Keshu	bacteria	Duplodnaviria
Mycobacterium phage Kevin1	bacteria	Duplodnaviria
Mycobacterium phage KiSi	bacteria	Duplodnaviria
Mycobacterium phage KilKor	bacteria	Duplodnaviria
Mycobacterium phage Killigrew	bacteria	Duplodnaviria
Mycobacterium phage Kimberlium	bacteria	Duplodnaviria
Mycobacterium phage Kimona	bacteria	Duplodnaviria
Mycobacterium phage KingTut	bacteria	Duplodnaviria
Mycobacterium phage Kingsley	bacteria	Duplodnaviria
Mycobacterium phage Koella	bacteria	Duplodnaviria
Mycobacterium phage Koko	bacteria	Duplodnaviria
Mycobacterium phage Konstantine	bacteria	Duplodnaviria
Mycobacterium phage Krakatau	bacteria	Duplodnaviria
Mycobacterium phage Kratio	bacteria	Duplodnaviria
Mycobacterium phage KristaRAM	bacteria	Duplodnaviria
Mycobacterium phage Krueger	bacteria	Duplodnaviria
Mycobacterium phage Krypton555	bacteria	Duplodnaviria
Mycobacterium phage Ksquared	bacteria	Duplodnaviria
Mycobacterium phage Kugel	bacteria	Duplodnaviria
Mycobacterium phage Kumao	bacteria	Duplodnaviria
Mycobacterium phage KyMonks1A	bacteria	Duplodnaviria
Mycobacterium phage LadyBird	bacteria	Duplodnaviria
Mycobacterium phage Lamina13	bacteria	Duplodnaviria
Mycobacterium phage Larenn	bacteria	Duplodnaviria
Mycobacterium phage Larva	bacteria	Duplodnaviria
Mycobacterium phage LastHope	bacteria	Duplodnaviria
Mycobacterium phage LastJedi	bacteria	Duplodnaviria
Mycobacterium phage LaterM	bacteria	Duplodnaviria
Mycobacterium phage LeBron	bacteria	Duplodnaviria
Mycobacterium phage Lemuria	bacteria	Duplodnaviria
Mycobacterium phage Leo	bacteria	Duplodnaviria
Mycobacterium phage LeoAvram	bacteria	Duplodnaviria
Mycobacterium phage Lesedi	bacteria	Duplodnaviria
Mycobacterium phage Leston	bacteria	Duplodnaviria
Mycobacterium phage Liefie	bacteria	Duplodnaviria
Mycobacterium phage LilMcDreamy	bacteria	Duplodnaviria
Mycobacterium phage LilMoolah	bacteria	Duplodnaviria
Mycobacterium phage Lilac	bacteria	Duplodnaviria
Mycobacterium phage LittleE	bacteria	Duplodnaviria
Mycobacterium phage Lizziana	bacteria	Duplodnaviria
Mycobacterium phage Llama	bacteria	Duplodnaviria
Mycobacterium phage Llij	bacteria	Duplodnaviria
Mycobacterium phage Lolly9	bacteria	Duplodnaviria
Mycobacterium phage Lopton	bacteria	Duplodnaviria
Mycobacterium phage Loser	bacteria	Duplodnaviria
Mycobacterium phage Luchador	bacteria	Duplodnaviria
Mycobacterium phage Lukilu	bacteria	Duplodnaviria
Mycobacterium phage Lumos	bacteria	Duplodnaviria
Mycobacterium phage MA5	bacteria	Duplodnaviria
Mycobacterium phage MOOREtheMARYer	bacteria	Duplodnaviria
Mycobacterium phage MPlant7149	bacteria	Duplodnaviria
Mycobacterium phage Magnar	bacteria	Duplodnaviria
Mycobacterium phage Magnito	bacteria	Duplodnaviria
Mycobacterium phage Mahavrat	bacteria	Duplodnaviria
Mycobacterium phage Majeke	bacteria	Duplodnaviria
Mycobacterium phage Makemake	bacteria	Duplodnaviria
