virus	type	shape
Tobacco leaf curl Yunnan virus	DNA	circular
Grapevine leafroll-associated virus 3	RNA	linear
Infectious bronchitis virus	RNA	linear
Beet necrotic yellow vein virus	RNA	linear
Beet necrotic yellow vein virus	RNA	linear
Potato aucuba mosaic virus	RNA	linear
Sandfly fever Naples virus	RNA	linear
Barfin flounder nervous necrosis virus	RNA	linear
Tiger puffer nervous necrosis virus	RNA	linear
Saccharum streak virus	DNA	circular
Bat adeno-associated virus YNM	DNA	linear
Human papillomavirus 127	DNA	circular
Mal de Rio Cuarto virus	RNA	linear
Glypta fumiferanae ichnovirus	DNA	circular
Glypta fumiferanae ichnovirus	DNA	circular
Hyposoter fugitivus ichnovirus	DNA	circular
Phytophthora alphaendornavirus 1	RNA	linear
Raspberry bushy dwarf virus	RNA	linear
Sweet clover necrotic mosaic virus	RNA	linear
Sweet clover necrotic mosaic virus	RNA	linear
Palyam virus	RNA	linear
Palyam virus	RNA	linear
Palyam virus	RNA	linear
Sweet potato leaf curl Lanzarote virus	DNA	circular
Malvastrum leaf curl Guangdong virus	DNA	circular
Croton yellow vein virus	DNA	circular
Trailing lespedeza virus 1	RNA	linear
Sweet potato vein clearing virus	DNA	circular
Fig fleck-associated virus	RNA	linear
Human bocavirus 2c PK	DNA	linear
Tomato dwarf leaf virus	DNA	circular
Trichechus manatus latirostris papillomavirus 2	DNA	circular
Sweet potato mild mottle virus	RNA	linear
Plum pox virus	RNA	linear
Pepper mottle virus	RNA	linear
Potato virus Y	RNA	linear
Ryegrass mosaic virus	RNA	linear
Peanut mottle virus	RNA	linear
Mycoreovirus 3	RNA	linear
Yunnan orbivirus	RNA	linear
Tomato yellow spot virus	DNA	circular
East Asian Passiflora virus	RNA	linear
Okra leaf curl Cameroon virus	DNA	circular
Chaetoceros protobacilladnavirus 4	DNA	circular
Ugandan cassava brown streak virus	RNA	linear
Tobacco yellow crinkle virus	DNA	circular
Cercopithecine alphaherpesvirus 9	DNA	linear
Sugarcane bacilliform IM virus	DNA	circular
Tomato yellow leaf curl virus	DNA	circular
Scallion mosaic virus	RNA	linear
Bean yellow mosaic virus	RNA	linear
Hordeum mosaic virus	RNA	linear
Pennisetum mosaic virus	RNA	linear
Merremia mosaic virus	DNA	linear
Prune dwarf virus	RNA	linear
Melon yellow spot virus	RNA	linear
Tobacco yellow crinkle virus	DNA	circular
Bdellovibrio phage phiMH2K	DNA	circular
Banana mild mosaic virus	RNA	linear
Canis familiaris papillomavirus 8	DNA	circular
Australian bat lyssavirus	RNA	linear
Eragrostis curvula streak virus	DNA	circular
Malvastrum yellow vein Baoshan virus	DNA	circular
Emilia yellow vein virus-associated DNA beta	DNA	circular
Cercopithecine betaherpesvirus 5	DNA	linear
Canis familiaris papillomavirus 10	DNA	circular
Daphne mosaic virus	RNA	linear
Basella rugose mosaic virus	RNA	linear
Wild tomato mosaic virus	RNA	linear
Moroccan watermelon mosaic virus	RNA	linear
Bandicoot papillomatosis carcinomatosis virus type 1	DNA	circular
Mud crab virus	RNA	linear
Milk vetch dwarf virus	DNA	circular
Milk vetch dwarf virus	DNA	circular
Plutella xylostella granulovirus	DNA	circular
Mirabilis jalapa mottle virus	RNA	linear
Verbena virus Y	RNA	linear
Algerian watermelon mosaic virus	RNA	linear
Zantedeschia mild mosaic virus	RNA	linear
Pepper veinal mottle virus	RNA	linear
Sugarcane streak mosaic virus	RNA	linear
Glypta fumiferanae ichnovirus	DNA	circular
Tomato mild yellow leaf curl Aragua virus	DNA	circular
Sida golden mosaic Buckup virus-[Jamaica:St. Elizabeth:2004]	DNA	circular
Sida golden mosaic Buckup virus-[Jamaica:St. Elizabeth:2004]	DNA	circular
Blackcurrant reversion virus	RNA	linear
Cypovirus 14	RNA	linear
Cypovirus 1	RNA	linear
Cotton leafroll dwarf virus	RNA	linear
Sida mottle virus	DNA	circular
Penicillium chrysogenum virus	RNA	linear
Sweet potato chlorotic stunt virus	RNA	linear
Campoletis sonorensis ichnovirus	DNA	circular
Porcine bocavirus 3	DNA	linear
Porcine bocavirus 4-1	DNA	linear
Apple latent spherical virus	RNA	linear
Hollyhock yellow vein mosaic virus	DNA	circular
Sunflower chlorotic mottle virus	RNA	linear
Bidens mottle virus	RNA	linear
Brugmansia suaveolens mottle virus	RNA	linear
Hardenbergia mosaic virus	RNA	linear
Oscivirus A2	RNA	linear
Pirital mammarenavirus	RNA	linear
Culex pipiens densovirus	DNA	linear
Passionfruit severe leaf distortion virus	DNA	circular
Sida yellow mottle virus	DNA	circular
Blueberry necrotic ring blotch virus	RNA	linear
Blueberry necrotic ring blotch virus	RNA	linear
Espirito Santo virus	RNA	linear
Sida mosaic Alagoas virus	DNA	circular
Sida golden yellow vein virus-[Jamaica:Liguanea2:2008]	DNA	circular
Sida golden yellow vein virus-[Jamaica:Liguanea2:2008]	DNA	circular
Camelus dromedarius papillomavirus 2	DNA	circular
Tuber aestivum mitovirus	RNA	linear
Mirabilis mosaic virus	DNA	circular
Indian peanut clump virus	RNA	linear
Ovine mastadenovirus A	DNA	linear
Tomato leaf curl Pakistan alphasatellite	DNA	circular
Blueberry necrotic ring blotch virus	RNA	linear
Espirito Santo virus	RNA	linear
Southern elephant seal virus	RNA	linear
Blackberry virus Y	RNA	linear
Rotavirus A	RNA	linear
Nemesia ring necrosis virus	RNA	linear
Hosta virus X	RNA	linear
Pepper chat fruit viroid	RNA	circular
Raphanus sativus cryptic virus 3	RNA	linear
Primate bocaparvovirus 1	DNA	linear
TYLCAxV-Sic1-[IT:Sic2/2:04]	DNA	circular
Porcine adenovirus 3	DNA	linear
Tree shrew adenovirus 1	DNA	linear
Bovine mastadenovirus A	DNA	linear
Equid gammaherpesvirus 2	DNA	linear
Columbid circovirus	DNA	circular
Cosavirus A	RNA	linear
Human cosavirus B	RNA	linear
Cosavirus D	RNA	linear
Clitoria yellow mottle virus	RNA	linear
Grapevine leafroll-associated virus 1	RNA	linear
Helicoverpa zea nudivirus 2	DNA	circular
Stenotrophomonas phage phiSHP2	DNA	circular
Ageratum yellow vein virus	DNA	linear
Enterovirus E	RNA	linear
Helicoverpa armigera nucleopolyhedrovirus	DNA	circular
Dendrolimus punctatus virus	RNA	linear
Beet black scorch virus satellite RNA	RNA	linear
Chalara elegans RNA Virus 1	RNA	linear
Macrobrachium rosenbergii nodavirus	RNA	linear
Hirame novirhabdovirus	RNA	linear
Human alphaherpesvirus 1	DNA	linear
Broad bean necrosis virus	RNA	linear
Broad bean necrosis virus	RNA	linear
Omikronpapillomavirus 1	DNA	linear
Arabis mosaic virus small satellite RNA	RNA	circular
Carrot mottle mimic virus	RNA	linear
Alfalfa mosaic virus	RNA	linear
Influenza B virus (B/Lee/1940)	RNA	linear
Canna yellow streak virus	RNA	linear
Seal anellovirus TFFN/USA/2006	DNA	circular
Y73 sarcoma virus	RNA	linear
Cryphonectria parasitica mitovirus 1-NB631	RNA	linear
Rice ragged stunt virus	RNA	linear
Wheat yellow mosaic virus	RNA	linear
Wheat yellow mosaic virus	RNA	linear
Maize fine streak nucleorhabdovirus	RNA	linear
Sindbis virus	RNA	linear
Oropouche virus	RNA	linear
African green monkey polyomavirus	DNA	circular
Eyach virus	RNA	linear
Tomato leaf curl Vietnam virus	DNA	linear
St Croix River virus	RNA	linear
Sweet potato leaf curl deltasatellite 1	DNA	circular
Cocksfoot mottle virus	RNA	linear
Beet necrotic yellow vein virus	RNA	linear
Beet necrotic yellow vein virus	RNA	linear
Ippy mammarenavirus	RNA	linear
Neodiprion abietis NPV	DNA	circular
Chickpea chlorotic stunt virus	RNA	linear
Ovine gammaherpesvirus 2	DNA	linear
Macacine gammaherpesvirus 5	DNA	linear
Maruca vitrata nucleopolyhedrovirus	DNA	circular
Tobacco necrosis virus A	RNA	linear
Rice grassy stunt tenuivirus	RNA	linear
Banna virus strain JKT-6423	RNA	linear
St Croix River virus	RNA	linear
St Croix River virus	RNA	linear
St Croix River virus	RNA	linear
Oropouche virus	RNA	linear
Panine betaherpesvirus 2	DNA	linear
Garlic common latent virus	RNA	linear
Parrot hepatitis B virus	DNA	circular
Anopheles gambiae densovirus	DNA	linear
Bean calico mosaic virus	DNA	linear
Citrus bark cracking viroid	RNA	circular
Nilaparvata lugens reovirus	RNA	linear
Eyach virus	RNA	linear
Rice dwarf virus	RNA	linear
adeno-associated virus 2	DNA	linear
Tomato yellow leaf curl Indonesia virus-[Lembang]	DNA	circular
Banana bract mosaic virus	RNA	linear
Ustilago maydis virus H1	RNA	linear
Oyster mushroom spherical virus	RNA	linear
Zygocactus virus X	RNA	linear
Lettuce ring necrosis virus	RNA	linear
rat cytomegalovirus strain Maastricht	DNA	linear
Eyach virus	RNA	linear
Rattail cactus necrosis-associated virus	RNA	linear
Chocolate lily virus A	RNA	linear
Chocolate lily virus A	RNA	linear
Cleome leaf crumple virus	DNA	circular
Sida mosaic Alagoas virus	DNA	circular
Abutilon mosaic Brazil virus	DNA	circular
Cypovirus 5	RNA	linear
Tobacco streak virus	RNA	linear
Carrot red leaf luteovirus associated RNA	RNA	linear
Fusarium solani virus 1	RNA	linear
Tomato leaf curl Bangalore virus	DNA	circular
Enterovirus H	RNA	linear
Ophiostoma mitovirus 3a	RNA	linear
Kappapapillomavirus 2	DNA	circular
Alphapapillomavirus 12	DNA	circular
Human papillomavirus type 48	DNA	linear
Human papillomavirus type 60	DNA	linear
Human papillomavirus type 50	DNA	linear
Human papillomavirus type 54	DNA	linear
Changuinola virus	RNA	linear
Goose parvovirus	DNA	linear
Macacine gammaherpesvirus 4	DNA	circular
Cactus virus X	RNA	linear
Sin Nombre orthohantavirus	RNA	linear
Guanarito mammarenavirus	RNA	linear
Pirital mammarenavirus	RNA	linear
Xipapillomavirus 1	DNA	circular
Aotine betaherpesvirus 1	DNA	linear
Saimiriine betaherpesvirus 4	DNA	linear
West African Asystasia virus 1	DNA	circular
West African Asystasia virus 1	DNA	circular
Blackberry yellow vein-associated virus	RNA	linear
Porcine parvovirus	DNA	linear
Potato leafroll virus	RNA	linear
Human papillomavirus type 90	DNA	circular
Pseudomonas phage phi13	RNA	linear
Infectious bursal disease virus	RNA	linear
Chilli leaf curl virus	DNA	circular
Johnsongrass mosaic virus	RNA	linear
Himetobi P virus	RNA	linear
Pseudomonas phage phi6	RNA	linear
Pseudomonas phage phi6	RNA	linear
Turnip mosaic virus	RNA	linear
Raphanus sativus cryptic virus 1	RNA	linear
Raphanus sativus cryptic virus 1	RNA	linear
Pothos latent virus	RNA	linear
Rice dwarf virus	RNA	linear
Sabia virus	RNA	linear
Tupaia paramyxovirus	RNA	linear
Goose paramyxovirus SF02	RNA	linear
Human papillomavirus type 96	DNA	circular
Leek yellow stripe virus	RNA	linear
Human erythrovirus V9	DNA	linear
Salmon pancreas disease virus	RNA	linear
Zucchini green mottle mosaic virus	RNA	linear
Yambean mosaic virus	RNA	linear
Abutilon mosaic Brazil virus	DNA	circular
Cleome leaf crumple virus	DNA	circular
Semliki Forest virus	RNA	linear
Sweet potato leaf curl Georgia virus	DNA	circular
Cucurbit yellow stunting disorder virus	RNA	linear
Rosellinia necatrix partitivirus 1-W8	RNA	linear
Bombyx mori cypovirus 1 satellite RNA	RNA	linear
Hyphantria cunea nucleopolyhedrovirus	DNA	circular
Pepper yellow leaf curl Indonesia virus	DNA	circular
Pepper yellow leaf curl Indonesia virus	DNA	circular
Uukuniemi virus	RNA	linear
Carnation mottle virus	RNA	linear
Mamastrovirus 13	RNA	linear
Kadipiro virus	RNA	linear
Kadipiro virus	RNA	linear
Kyuri green mottle mosaic virus	RNA	linear
Asparagus virus 3	RNA	linear
Chayote yellow mosaic virus	DNA	circular
East African cassava mosaic Zanzibar virus	DNA	circular
Mulard duck circovirus	DNA	circular
Botrytis virus X	RNA	linear
Tomato chlorotic leaf distortion virus-[Venezuela:Zulia:2004]	DNA	linear
Machupo mammarenavirus	RNA	linear
Aquareovirus C	RNA	linear
Hantaan orthohantavirus	RNA	linear
Citrus leprosis virus C	RNA	linear
Influenza C virus (C/Ann Arbor/1/50)	RNA	linear
Influenza C virus (C/Ann Arbor/1/50)	RNA	linear
Influenza C virus (C/Ann Arbor/1/50)	RNA	linear
Tomato leaf curl Bangalore virus-[Ban5] satellite DNA beta	DNA	circular
Pigeon picornavirus B	RNA	linear
Bunyamwera virus	RNA	linear
Cotton leaf curl Gezira betasatellite	DNA	linear
Puumala orthohantavirus	RNA	linear
Epiphyas postvittana nucleopolyhedrovirus	DNA	circular
Campoletis sonorensis ichnovirus	DNA	circular
Campoletis sonorensis ichnovirus	DNA	circular
Helleborus net necrosis virus	RNA	linear
Bhendi yellow vein Bhubhaneswar virus	DNA	circular
Chilli veinal mottle virus	RNA	linear
Peru tomato mosaic virus	RNA	linear
Lily mottle virus	RNA	linear
Lettuce mosaic virus	RNA	linear
Bovine adeno-associated virus	DNA	circular
St Croix River virus	RNA	linear
Small anellovirus 1	DNA	circular
Impatiens necrotic spot virus	RNA	linear
Peanut bud necrosis virus	RNA	linear
Capsicum chlorosis virus	RNA	linear
Rotavirus C	RNA	linear
Chrysanthemum virus B	RNA	linear
Penaeus monodon hepandensovirus 4	DNA	linear
Circovirus-like genome RW-A	DNA	circular
Sweet potato leaf curl Canary virus	DNA	circular
Morogoro mammarenavirus	RNA	linear
Beet pseudoyellows virus	RNA	linear
Beet pseudoyellows virus	RNA	linear
Sclerotinia sclerotiorum hypovirulence associated DNA virus 1	DNA	circular
Tobacco leaf curl PUSA alphasatellite	DNA	circular
Deformed wing virus	RNA	linear
Canine adenovirus 1	DNA	linear
Micromonas pusilla reovirus	RNA	linear
Human papillomavirus 4	DNA	linear
Barbel circovirus	DNA	circular
Atlantic salmon swim bladder sarcoma virus	RNA	linear
Bos taurus papillomavirus 7	DNA	circular
Citrus psorosis virus	DNA	linear
Citrus psorosis virus	DNA	linear
Citrus psorosis virus	DNA	linear
Apricot latent virus	RNA	linear
Canine picornavirus	RNA	linear
Tomato leaf curl Ranchi virus	DNA	circular
Faba bean necrotic yellows virus	DNA	circular
Faba bean necrotic yellows virus	DNA	circular
Spissistilus festinus reovirus	RNA	linear
Passion fruit mosaic virus	RNA	linear
Baboon orthoreovirus	RNA	linear
Baboon orthoreovirus	RNA	linear
Baboon orthoreovirus	RNA	linear
Baboon orthoreovirus	RNA	linear
Ippy mammarenavirus	RNA	linear
Orthohepevirus A	RNA	linear
Cotesia congregata bracovirus	DNA	circular
Euphorbia mosaic virus	DNA	circular
Alternanthera mosaic virus	RNA	linear
Turnip ringspot virus	RNA	linear
Turnip ringspot virus	RNA	linear
Phytophthora infestans RNA virus 1	RNA	linear
Epizootic hemorrhagic disease virus (serotype 1 / strain New	RNA	linear
Epizootic hemorrhagic disease virus (serotype 1 / strain New	RNA	linear
Epizootic hemorrhagic disease virus (serotype 1 / strain New	RNA	linear
Epizootic hemorrhagic disease virus (serotype 1 / strain New	RNA	linear
Avian myelocytomatosis virus	RNA	linear
Jaagsiekte sheep retrovirus	RNA	linear
Rift Valley fever virus	RNA	linear
Phytophthora infestans RNA virus 1	RNA	linear
Potato virus M	RNA	linear
Epizootic hemorrhagic disease virus (serotype 1 / strain New	RNA	linear
Epizootic hemorrhagic disease virus (serotype 1 / strain New	RNA	linear
Epizootic hemorrhagic disease virus (serotype 1 / strain New	RNA	linear
Wissadula golden mosaic virus	DNA	circular
Macroptilium golden mosaic virus	DNA	circular
Broome virus	RNA	linear
Mycoreovirus 3	RNA	linear
Campoletis sonorensis ichnovirus	DNA	circular
Operophtera brumata reovirus	RNA	linear
Cucumber leaf spot virus	RNA	linear
Changuinola virus	RNA	linear
Avian leukemia virus	DNA	linear
Tomato black ring virus	RNA	linear
Human orthorubulavirus 2	RNA	linear
Heterosigma akashiwo RNA virus	RNA	linear
Nipah henipavirus	RNA	linear
Rice black streaked dwarf virus	RNA	linear
Tomato leaf curl New Delhi virus	DNA	circular
Grapevine fanleaf virus	RNA	linear
Macroptilium golden mosaic virus	DNA	circular
Persea americana alphaendornavirus 1	RNA	linear
Keunjorong mosaic virus	RNA	linear
Merremia mosaic Puerto Rico virus	DNA	circular
Tomato chlorotic leaf distortion virus-[Venezuela:Zulia:2004]	DNA	linear
Halastavi arva RNA virus	RNA	linear
Cassava mosaic Madagascar virus	DNA	circular
Tomato leaf curl Hanoi virus	DNA	circular
Avian orthoreovirus	RNA	linear
Pseudomonas virus Pf1	DNA	linear
Soybean dwarf virus	RNA	linear
Squirrel monkey retrovirus	RNA	linear
Cabbage leaf curl virus	DNA	linear
Microplitis demolitor bracovirus	DNA	circular
Microplitis demolitor bracovirus	DNA	circular
Microplitis demolitor bracovirus	DNA	circular
Microplitis demolitor bracovirus	DNA	circular
Microplitis demolitor bracovirus	DNA	circular
Tobacco leaf curl Pusa virus	DNA	circular
Canine vesivirus	RNA	linear
Avian orthoreovirus	RNA	linear
Avian orthoreovirus	RNA	linear
Avian orthoreovirus	RNA	linear
Avian orthoreovirus	RNA	linear
Avian orthoreovirus	RNA	linear
Avian orthoreovirus	RNA	linear
Avian orthoreovirus	RNA	linear
Carrot mottle virus	RNA	linear
Bean pod mottle virus	RNA	linear
Goose circovirus	DNA	circular
Broad bean wilt virus 1	RNA	linear
Broad bean wilt virus 1	RNA	linear
Garlic virus X	RNA	linear
Squash mild leaf curl virus	DNA	circular
Microplitis demolitor bracovirus	DNA	circular
Sida yellow mosaic virus	DNA	circular
Brugmansia mild mottle virus	RNA	linear
Allamanda leaf curl virus	DNA	circular
Squash mild leaf curl virus	DNA	circular
Barley yellow dwarf virus MAV	RNA	linear
Peanut clump virus	RNA	linear
Oat golden stripe virus	RNA	linear
Phlox virus S	RNA	linear
Pumpkin yellow mosaic Malaysia virus	DNA	circular
Thottopalayam virus	RNA	linear
Blainvillea yellow spot virus	DNA	circular
Alstroemeria virus X	RNA	linear
Bovine parvovirus - 2	DNA	linear
Fusarium graminearum dsRNA mycovirus-1	RNA	linear
Hyposoter fugitivus ichnovirus	DNA	circular
Hyposoter fugitivus ichnovirus	DNA	circular
Beet soil-borne virus	RNA	linear
Yellowtail ascites virus	RNA	linear
Chum salmon reovirus CS	RNA	linear
Deltapapillomavirus 3	DNA	circular
Wheat yellow dwarf virus-GPV	RNA	linear
Human polyomavirus 9	DNA	linear
Carnation ringspot virus	RNA	linear
Nora virus	RNA	linear
East African cassava mosaic virus	DNA	circular
East African cassava mosaic virus	DNA	circular
Pepper golden mosaic virus	DNA	circular
Pepper golden mosaic virus	DNA	circular
Raspberry ringspot virus	RNA	linear
Tomato leaf curl Palampur virus	DNA	circular
Homalodisca vitripennis reovirus	RNA	linear
Tamus red mosaic virus	RNA	linear
Xanthomonas phage Cf1c	DNA	circular
African horse sickness virus	RNA	linear
African horse sickness virus	RNA	linear
Drosophila C virus	RNA	linear
Carrot red leaf virus	RNA	linear
Ovine enzootic nasal tumor virus	RNA	linear
Blackberry chlorotic ringspot virus	RNA	linear
Potato yellow mosaic virus	DNA	circular
Tomato mottle virus	DNA	circular
Tomato mottle virus	DNA	circular
Meleagrid alphaherpesvirus 1	DNA	linear
Crimean-Congo hemorrhagic fever orthonairovirus	RNA	linear
Mungbean yellow mosaic India virus	DNA	circular
Human papillomavirus type 41	DNA	linear
Rhopalosiphum padi virus	RNA	linear
Soil-borne cereal mosaic virus	RNA	linear
Pseudomonas phage phi12	RNA	linear
Cowpea chlorotic mottle virus	RNA	linear
Potato yellow vein virus	RNA	linear
Hydrangea ringspot virus	RNA	linear
Cricetid gammaherpesvirus 2	DNA	linear
Pepper vein yellows virus	RNA	linear
Bat picornavirus 1	RNA	linear
Snakehead retrovirus	RNA	linear
Ngaingan hapavirus	RNA	linear
Ageratum enation virus	DNA	circular
Calicivirus isolate TCG	RNA	linear
Human astrovirus	RNA	linear
Pariacoto virus	RNA	linear
Raspberry bushy dwarf virus	RNA	linear
Pepper ringspot virus	RNA	linear
Yunnan orbivirus	RNA	linear
Bat picornavirus 2	RNA	linear
New World begomovirus associated satellite DNA isolate 177H3	DNA	circular
Heterocapsa circularisquama RNA virus 01	RNA	linear
Aedes pseudoscutellaris reovirus	RNA	linear
Chum salmon reovirus CS	RNA	linear
Peruvian horse sickness virus	RNA	linear
Peruvian horse sickness virus	RNA	linear
Influenza A virus (A/Puerto Rico/8/1934(H1N1))	RNA	linear
Santeuil nodavirus	RNA	linear
Strawberry pallidosis-associated virus	RNA	linear
Pichinde virus	RNA	linear
Strawberry vein banding virus	DNA	linear
Banna virus strain JKT-6423	RNA	linear
Human alphaherpesvirus 3	DNA	linear
Mal de Rio Cuarto virus	RNA	linear
Beluga whale coronavirus SW1	RNA	linear
Hibiscus latent Singapore virus	RNA	linear
Malvastrum yellow mosaic virus satellite DNA beta	DNA	circular
Apple scar skin viroid	RNA	linear
Spring beauty latent virus	RNA	linear
Banana streak VN virus	DNA	circular
Glypta fumiferanae ichnovirus	DNA	circular
Cypovirus 5	RNA	linear
Curvularia thermal tolerance virus	RNA	linear
Wissadula golden mosaic virus	DNA	circular
Botrytis cinerea mitovirus 1	RNA	linear
Bovine viral diarrhea virus 3 Th/04_KhonKaen	RNA	linear
Tobacco etch virus	RNA	linear
Sesbania mosaic virus	RNA	linear
Fiji disease virus	RNA	linear
Poinsettia mosaic virus	RNA	linear
Venezuelan equine encephalitis virus	RNA	linear
Changuinola virus	RNA	linear
Changuinola virus	RNA	linear
Changuinola virus	RNA	linear
Changuinola virus	RNA	linear
Glypta fumiferanae ichnovirus	DNA	circular
Hyposoter fugitivus ichnovirus	DNA	circular
Flexal mammarenavirus	RNA	linear
Aguacate virus	RNA	linear
Vernonia yellow vein betasatellite	DNA	circular
Melon chlorotic mosaic virus	DNA	circular
Olive latent virus 3	RNA	linear
Fort Morgan virus	RNA	linear
Torque teno virus 4	DNA	circular
Torque teno virus 10	DNA	circular
Changuinola virus	RNA	linear
Changuinola virus	RNA	linear
Hyposoter fugitivus ichnovirus	DNA	circular
Hyposoter fugitivus ichnovirus	DNA	circular
Bat picornavirus 3	RNA	linear
Andes orthohantavirus	RNA	linear
Satsuma dwarf virus	RNA	linear
Ageratum leaf curl Cameroon virus	DNA	circular
Ageratum leaf curl Cameroon alphasatellite	DNA	circular
Mint virus 1	RNA	linear
Bettongia penicillata papillomavirus 1	DNA	circular
Ageratum leaf curl Buea betasatellite	DNA	circular
Tomato leaf curl Cameroon alphasatellite	DNA	circular
White spot syndrome virus	DNA	circular
Botrytis cinerea fusarivirus 1-S2	RNA	linear
Botrytis cinerea fusarivirus 1-S1	RNA	linear
Parrot bornavirus 7	RNA	linear
Parrot bornavirus 2	RNA	linear
Sclerotinia sclerotiorum dsRNA mycovirus-L	RNA	linear
Jatropha mosaic Nigeria virus	DNA	circular
Pseudomonas phage phi13	RNA	linear
Streptococcus phage 315.3	DNA	linear
Bacillus phage phBC6A51	DNA	linear
Bacillus phage phBC6A52	DNA	linear
Hubei tombus-like virus 19	RNA	linear
Coccinia mosaic Tamil Nadu virus	DNA	circular
Drosophila melanogaster sigmavirus AP30	RNA	linear
Botryosphaeria dothidea chrysovirus 1	RNA	linear
Botryosphaeria dothidea chrysovirus 1	RNA	linear
Botryosphaeria dothidea chrysovirus 1	RNA	linear
Botryosphaeria dothidea chrysovirus 1	RNA	linear
Chequa iflavirus	RNA	linear
Bat Middle East Hepe-Astrovirus	RNA	linear
Maporal virus	RNA	linear
Maporal virus	RNA	linear
Nova virus	RNA	linear
African pouched rat arterivirus	RNA	linear
Carnation cryptic virus 3	RNA	linear
Carnation cryptic virus 3	RNA	linear
Bipolaris maydis partitivirus 1	RNA	linear
Vesicular stomatitis Indiana virus	RNA	linear
Cebine betaherpesvirus 1	DNA	linear
Phasi Charoen-like phasivirus	RNA	linear
Phasi Charoen-like phasivirus	RNA	linear
Phasi Charoen-like phasivirus	RNA	linear
Bombyx mori densovirus 1	DNA	linear
Subterranean clover stunt virus	DNA	circular
Subterranean clover stunt virus	DNA	circular
Subterranean clover stunt virus	DNA	circular
Subterranean clover stunt virus	DNA	circular
Subterranean clover stunt virus	DNA	circular
Subterranean clover stunt virus	DNA	circular
Bulbul coronavirus HKU11-934	RNA	linear
Tomato leaf curl Joydebpur betasatellite	DNA	circular
Porcine lymphotropic herpesvirus 1	DNA	linear
Porcine lymphotropic herpesvirus 2	DNA	linear
Mustelid gammaherpesvirus 1	DNA	linear
Ateline gammaherpesvirus 2	DNA	linear
Estrildid finch bornavirus 1	RNA	linear
Pteromalus puparum negative-strand RNA virus 1	RNA	linear
Simian Agent 10	RNA	linear
Bat Paramyxovirus Epo_spe/AR1/DRC/2009	RNA	linear
Mossuril virus	RNA	linear
Nishimuro ledantevirus	RNA	linear
Lake trout rhabdovirus 903/87	RNA	linear
Drosophila affinis sigmavirus	RNA	linear
Drosophila ananassae sigmavirus	RNA	linear
Drosophila immigrans sigmavirus	RNA	linear
Drosophila melanogaster sigmavirus HAP23	RNA	linear
Ekpoma virus 1	RNA	linear
Ekpoma virus 2	RNA	linear
Durham virus	RNA	linear
Carajas virus	RNA	linear
Piry virus	RNA	linear
Radi vesiculovirus	RNA	linear
Watermelon bud necrosis virus	RNA	linear
Watermelon bud necrosis virus	RNA	linear
Watermelon bud necrosis virus	RNA	linear
Porcine reproductive and respiratory syndrome virus 2	RNA	linear
Kibale red-tailed guenon virus 1	RNA	linear
Simian hemorrhagic encephalitis virus	RNA	linear
Fathead minnow nidovirus	RNA	linear
Karang Sari virus	RNA	linear
Dak Nong virus	RNA	linear
Lygus lineolaris virus 1	RNA	linear
Nilaparvata lugens honeydew virus 1	RNA	linear
Bovine rhinitis A virus	RNA	linear
Turkey avisivirus	RNA	linear
cardiovirus C1	RNA	linear
Coxsackievirus B3	RNA	linear
enterovirus D68	RNA	linear
Dromedary camel enterovirus 19CC	RNA	linear
rhinovirus A1	RNA	linear
Bat hepatovirus SMG18520Minmav2014	RNA	linear
Rodent hepatovirus CIV459Lopsik2004	RNA	linear
Rodent hepatovirus KEF121Sigmas2012	RNA	linear
Bat hepatovirus BUO2BF86Colafr2010	RNA	linear
Kunsagivirus A	RNA	linear
Mouse Mosavirus	RNA	linear
Carrot necrotic dieback virus	RNA	linear
Chaetoceros tenuissimus RNA virus 01	RNA	linear
Cole latent virus	RNA	linear
Helenium virus S	RNA	linear
Melon yellowing-associated virus	RNA	linear
Caucasus prunus virus	RNA	linear
Grapevine virus D	RNA	linear
Bermuda grass etched-line virus	RNA	linear
Blackberry virus S	RNA	linear
Clitoria yellow vein virus	RNA	linear
Desmodium yellow mottle virus	RNA	linear
Bombyx mori latent virus	RNA	linear
Nudaurelia capensis omega virus	RNA	linear
Torque teno virus 5	DNA	linear
Torque teno virus 9	DNA	linear
Torque teno virus 11	DNA	linear
Torque teno virus 13	DNA	linear
Torque teno virus 20	DNA	linear
Torque teno virus 21	DNA	linear
Torque teno virus 23	DNA	linear
Torque teno virus 24	DNA	linear
Torque teno virus 29	DNA	linear
Torque teno mini virus 10	DNA	linear
Torque teno mini virus 11	DNA	linear
Torque teno mini virus 12	DNA	linear
Torque teno tupaia virus	DNA	linear
Torque teno felis virus 2	DNA	linear
Torque teno midi virus 3	DNA	linear
Torque teno midi virus 4	DNA	linear
Torque teno midi virus 5	DNA	circular
Torque teno midi virus 6	DNA	circular
Torque teno midi virus 7	DNA	circular
Torque teno midi virus 8	DNA	circular
Torque teno midi virus 9	DNA	circular
Torque teno midi virus 10	DNA	circular
Torque teno midi virus 11	DNA	circular
Torque teno midi virus 12	DNA	circular
Torque teno midi virus 13	DNA	circular
Torque teno midi virus 14	DNA	circular
Torque teno midi virus 15	DNA	circular
Torque teno sus virus k2b	DNA	circular
Loei River mammarenavirus	RNA	linear
Arenaviridae sp. 13ZR68	RNA	linear
Arenaviridae sp. 13ZR68	RNA	linear
