virus	type	shape
Sinapis alba cryptic virus 1	RNA	linear
Parthenium leaf curl alphasatellite	DNA	linear
Xinzhou spider virus 3	RNA	linear
Wuhan centipede virus	RNA	linear
Culiseta flavivirus	RNA	linear
Apricot vein clearing associated virus	RNA	linear
Torque teno sus virus 1b	DNA	circular
Black medic leaf roll virus	DNA	circular
Black medic leaf roll virus	DNA	circular
Black medic leaf roll virus	DNA	circular
Black medic leaf roll virus	DNA	circular
Black medic leaf roll virus	DNA	circular
Black medic leaf roll virus	DNA	circular
Black medic leaf roll virus	DNA	circular
Black medic leaf roll virus	DNA	circular
Pea yellow stunt virus	DNA	circular
Pea yellow stunt virus	DNA	circular
Pea yellow stunt virus	DNA	circular
Pea yellow stunt virus	DNA	circular
Pea yellow stunt virus	DNA	circular
Pea yellow stunt virus	DNA	circular
Pea yellow stunt virus	DNA	circular
Pea yellow stunt virus	DNA	circular
Sapovirus Hu/Nagoya/NGY-1/2012/JPN	RNA	linear
Papio ursinus cytomegalovirus	DNA	linear
Ageratum yellow vein virus	DNA	linear
Porcine kobuvirus	RNA	linear
Tomato leaf curl Liwa virus	DNA	linear
Sheep polyomavirus 1	DNA	circular
Trematomus pennellii polyomavirus 1	DNA	circular
Bhendi yellow vein mosaic alphasatellite	DNA	circular
Human papillomavirus KC5	DNA	circular
Zebra finch circovirus	DNA	circular
Cherax quadricarinatus densovirus	DNA	linear
Bovine nidovirus TCH5	RNA	linear
Rottboellia yellow mottle virus	RNA	linear
Sclerotinia sclerotiorum fusarivirus 1	RNA	linear
Magnaporthe oryzae virus 3	RNA	linear
Nectarine stem pitting associated virus	RNA	linear
Catharanthus mosaic virus	RNA	linear
Desmodus rotundus endogenous retrovirus	DNA	linear
Cymbidium chlorotic mosaic virus	RNA	linear
Areca palm velarivirus 1	RNA	linear
Vesivirus ferret badger/JX12/China/2012	RNA	linear
Grapevine Roditis leaf discoloration-associated virus	DNA	circular
Kenaf leaf curl betasatellite	DNA	circular
Bhanja virus	RNA	linear
Bhanja virus	RNA	linear
Bhanja virus	RNA	linear
Pebjah virus	RNA	linear
La Jolla virus	RNA	linear
Kilifi Virus	RNA	linear
Sclerotinia sclerotiorum botybirnavirus 1	RNA	linear
